State,Number of State-Level AI-Related Bills Pased Into Law
Alabama,2
Alaska,0
Arizona,0
Arkansas,0
California,6
Colorado,2
Connecticut,0
Delaware,0
Florida,0
Georgia,0
Hawaii,1
Idaho,1
Illinois,3
Indiana,0
Iowa,0
Kansas,0
Kentucky,1
Louisiana,1
Maine,0
Maryland,7
Massachusetts,5
Michigan,2
Minnesota,0
Mississippi,1
Missouri,0
Montana,0
Nebraska,0
Nevada,1
New Hampshire,0
New Jersey,2
New Mexico,0
New York,2
North Carolina,2
North Dakota,1
Ohio,2
Oklahoma,0
Oregon,0
Pennsylvania,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,2
Utah,3
Vermont,3
Virginia,1
Washington,5
West Virginia,1
Wisconsin,0
Wyoming,0